"b_SambucusNigra_2s";209562.648;9754.991;10.970;54.411;0.000;0.000;1.113
"b_CorylusAvellana_1f";209334.908;8187.086;3.500;141.975;0.000;0.000;1.155
"b_SambucusNigra_2s";201176.961;3569.281;1.330;41.167;0.000;0.000;0.880
"b_RosaCanina_1s";209155.417;5898.036;12.270;215.278;0.000;0.000;0.766
"b_RosaCanina_1s";209135.498;8576.922;11.310;96.777;0.000;0.000;0.744
"b_CorylusAvellana_1f";206419.793;4894.429;12.770;144.701;0.000;0.000;0.913
"b_CorylusAvellana_1f";207365.471;7766.716;3.950;45.044;0.000;0.000;1.082
"b_RosaCanina_1s";207336.598;7692.399;9.980;180.410;0.000;0.000;0.890
"b_CorylusAvellana_1f";206084.051;3837.598;13.530;2.711;0.000;0.000;0.834
"b_SambucusNigra_2s";202608.757;3319.697;4.650;303.710;0.000;0.000;1.119
"b_SambucusNigra_2s";208014.406;6112.310;13.680;277.982;0.000;0.000;1.155
"b_CorylusAvellana_1f";200678.667;3677.290;10.810;125.958;0.000;0.000;0.904
"b_RosaCanina_1s";202148.709;4052.567;8.510;117.097;0.000;0.000;0.755
"b_RosaCanina_1s";205535.112;4200.271;12.650;298.918;0.000;0.000;0.860
"b_RosaCanina_1s";205030.467;4402.555;8.250;299.994;0.000;0.000;1.155
"b_CorylusAvellana_1f";209493.625;6158.022;7.510;173.245;0.000;0.000;0.757
"b_SambucusNigra_2s";208029.419;5920.619;10.640;340.202;0.000;0.000;0.798
"b_CorylusAvellana_1f";202522.729;3236.612;13.510;100.188;0.000;0.000;0.824
"b_SambucusNigra_2s";205403.056;6910.085;1.990;306.864;0.000;0.000;1.151
"b_RosaCanina_1s";208634.947;5703.925;8.300;175.522;0.000;0.000;1.012
"b_RosaCanina_1s";204873.064;4438.403;11.140;120.687;0.000;0.000;1.003
"b_CorylusAvellana_1f";201416.212;3717.104;6.550;86.700;0.000;0.000;0.956
"b_RosaCanina_1s";208211.440;7981.050;2.890;324.717;0.000;0.000;1.077
"b_SambucusNigra_2s";203126.022;4952.869;2.080;170.841;0.000;0.000;0.756
"b_SambucusNigra_2s";206593.546;4498.277;1.910;118.800;0.000;0.000;1.046
"b_CorylusAvellana_1f";206325.922;4209.133;6.330;29.751;0.000;0.000;1.041
"b_RosaCanina_1s";203843.457;6065.650;5.540;317.826;0.000;0.000;0.762
"b_RosaCanina_1s";207640.071;5152.614;11.640;57.165;0.000;0.000;0.966
"b_SambucusNigra_2s";208242.945;5864.332;7.000;134.539;0.000;0.000;0.743
"b_RosaCanina_1s";209469.893;8358.955;3.710;189.925;0.000;0.000;0.788
"b_RosaCanina_1s";202479.179;3265.906;14.810;328.720;0.000;0.000;1.078
"b_SambucusNigra_2s";209489.952;6276.466;6.640;342.645;0.000;0.000;0.928
"b_SambucusNigra_2s";209671.297;6293.769;9.670;270.467;0.000;0.000;0.711
"b_RosaCanina_1s";209462.204;9148.038;2.810;252.164;0.000;0.000;0.856
"b_CorylusAvellana_1f";203270.577;4952.770;12.150;267.425;0.000;0.000;0.911
"b_CorylusAvellana_1f";209406.690;8470.734;5.720;192.193;0.000;0.000;0.980
"b_RosaCanina_1s";206532.596;4779.057;2.630;165.200;0.000;0.000;1.125
"b_RosaCanina_1s";202566.994;3138.872;7.940;326.955;0.000;0.000;0.956
"b_RosaCanina_1s";201483.371;3441.323;6.410;149.587;0.000;0.000;0.855
"b_CorylusAvellana_1f";209529.923;9851.606;8.280;273.801;0.000;0.000;0.982
"b_SambucusNigra_2s";203045.516;4883.652;9.220;106.062;0.000;0.000;1.005
"b_SambucusNigra_2s";209081.107;7812.629;1.510;167.303;0.000;0.000;0.938
"b_SambucusNigra_2s";203347.424;5083.946;5.800;176.813;0.000;0.000;0.982
"b_CorylusAvellana_1f";206041.496;4739.131;11.120;2.361;0.000;0.000;0.727
"b_CorylusAvellana_1f";203606.003;5173.478;2.900;309.321;0.000;0.000;0.908
"b_CorylusAvellana_1f";209980.335;10067.816;11.650;323.605;0.000;0.000;0.728
"b_RosaCanina_1s";207453.233;5144.278;14.480;329.368;0.000;0.000;0.884
"b_RosaCanina_1s";209275.067;8309.312;3.020;281.141;0.000;0.000;0.739
