"Boat_Small1";204822.956;6627.028;3.570;169.204;0.317;-0.019;0.991
"misc_boxwooden";204820.584;6624.993;3.570;148.192;0.000;0.000;0.999
"Boat_Small1";204828.729;6624.810;3.570;113.226;0.613;-1.091;0.982
"Boat_Small2";201558.180;3625.922;7.820;201.212;0.228;1.049;1.014
"misc_boxwooden";201555.947;3627.139;7.820;340.959;0.000;0.000;1.099
"Boat_Small1";201560.747;3622.340;8.620;130.535;0.805;0.040;0.968
"misc_boxwooden";201563.433;3622.258;8.620;81.555;0.000;0.000;0.928
"Boat_Small3";201550.724;3631.352;7.680;318.126;-0.358;0.243;0.954
"misc_boxwooden";201552.322;3629.138;7.820;135.619;0.000;0.000;0.932
"Boat_Small2";209400.433;8487.165;5.800;250.586;-0.671;0.607;0.964
"misc_boxwooden";209400.125;8484.196;5.800;28.521;0.000;0.000;0.951
"Boat_Small1";209406.429;8491.998;5.620;279.422;0.417;0.051;0.974
"Boat_Small2";205835.576;7110.942;1.750;180.655;-0.576;0.315;1.011
"misc_boxwooden";205837.666;7112.307;1.750;254.079;0.000;0.000;1.004
"Boat_Small1";209260.162;5878.607;10.810;354.850;-0.147;-0.162;1.002
"Boat_Small2";209255.088;5878.682;10.390;338.971;0.129;-1.045;1.017
"Boat_Small3";209756.622;6531.236;4.320;175.794;-0.273;-0.665;1.042
"misc_boxwooden";209757.473;6528.589;4.860;12.177;0.000;0.000;1.069
"Boat_Small3";209762.434;6530.461;4.280;83.316;0.432;-0.143;1.021
"Boat_Small3";209096.213;7714.382;3.950;302.247;-0.931;0.081;1.038
"Boat_Small1";209057.606;7888.331;2.130;350.633;-0.156;0.092;0.960
"misc_boxwooden";209056.205;7890.228;2.030;330.213;0.000;0.000;0.911
"Boat_Small1";209277.396;8537.956;5.910;304.733;0.539;-0.943;1.036
"Boat_Small2";209281.164;8547.487;5.110;116.137;-0.178;-0.680;1.048
"Boat_Small2";201186.898;3542.474;-0.040;213.851;1.026;1.110;1.011
"misc_boxwooden";201184.084;3545.128;-0.040;59.399;0.000;0.000;1.078
"Boat_Small3";208773.356;8305.700;5.140;316.560;0.150;-0.069;0.953
"misc_boxwooden";208775.354;8307.722;5.140;89.816;0.000;0.000;0.991
"Boat_Small3";208774.875;8313.368;5.300;142.899;-0.129;0.185;1.042
"Boat_Small2";208769.212;8316.439;5.410;58.865;-0.016;0.032;1.039
"Boat_Small1";209971.442;6520.045;1.770;186.226;0.945;-0.485;0.974
"misc_boxwooden";209973.586;6521.905;1.770;145.475;0.000;0.000;0.964
"Boat_Small2";209969.987;6511.817;2.680;145.656;-0.006;-0.487;1.024
"misc_boxwooden";209972.956;6513.713;2.440;123.540;0.000;0.000;1.043
"Boat_Small2";208361.184;8025.007;3.810;342.128;0.154;0.383;0.986
"Boat_Small3";201298.122;3656.556;4.870;102.934;0.335;0.277;1.035
"Boat_Small1";201297.401;3645.547;5.070;96.112;-0.719;0.345;1.029
"Boat_Small3";206382.787;7382.188;0.020;76.594;0.866;0.219;0.954
"misc_boxwooden";206385.151;7382.426;0.020;235.407;0.000;0.000;0.930
"Boat_Small1";206578.275;4235.220;5.960;320.687;-1.230;0.470;0.965
"misc_boxwooden";206580.809;4235.320;6.390;145.964;0.000;0.000;1.094
"Boat_Small2";208049.710;5955.994;9.030;247.826;-0.857;0.531;0.965
"Boat_Small3";208043.225;5961.886;9.000;21.619;0.456;-0.396;0.986
"misc_boxwooden";208043.443;5959.530;9.030;175.623;0.000;0.000;0.963
"Boat_Small1";203176.864;5018.094;0.380;358.558;-0.278;0.235;1.048
"misc_boxwooden";203174.236;5016.640;0.380;139.381;0.000;0.000;1.100
